"Taxon","Stage","Family","Common.name","Insect.","Higher.classification","Origin","Order","BCG.Attribute","Feeding.Group","CA.feeding.group","Habit","Tolerance","WY.HBI","PSSB.tolerance","CA.tolerance","Metals.tolerance","BCI.TV","PSSB.long.lived","Voltinism","Development","Occurrence.in.drift","Size.at.maturity","Rheophily","Thermal.preference","a","b"
"Dasyhelea","L","Ceratopogonidae","no-see-um midges","insect","Arthropoda: Insecta","Aquatic","Diptera",5,"CG","CG","SP","MT",7,0,6,11,108,0,2,1,1,1,2,2,0.0025,2.469
"Micropsectra","L","Chironomidae: Chironominae: Tanytarsini","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"CG","CG","CL","0",7,0,7,1,108,0,3,1,3,1,2,2,0.0018,2.617
"Phaenopsectra","L","Chironomidae: Chironominae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"SC","SC","CL","0",7,0,7,4,108,0,3,1,3,1,1,2,0.0018,2.617
"Cladotanytarsus","L","Chironomidae: Chironominae: Tanytarsini","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"CF","CF","CL","MT",7,0,7,3,108,0,3,1,3,1,2,2,0.0018,2.617
"Rheocricotopus","L","Chironomidae: Orthocladiinae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"CG","CG","SP","0",6,0,6,11,108,0,3,1,3,1,2,2,0.0018,2.617
"Odontomesa","L","Chironomidae: Prodiamesinae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"CG","CG","SP","0",4,0,6,5,108,0,3,1,3,1,2,1,0.0018,2.617
"Tanypus","L","Chironomidae: Tanypodinae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",5,"PR","PR","SP","MT",10,0,10,11,108,0,3,1,3,1,2,2,0.0018,2.617
"Trombidiformes","U","x","mites","non-insect","Arachnida: Acari","Aquatic","Trombidiformes",4,"PA","PR","SW","0",5,0,5,11,108,0,3,2,2,1,2,2,0.053,2.494
"Coenagrionidae","L","Coenagrionidae","damselflies","insect","Arthropoda: Insecta","Aquatic","Odonata",0,"PR","PR","CM","HT",9,0,9,11,110,0,2,2,1,2,1,3,0.0051,2.785
"Alotanypus","L","Chironomidae: Tanypodinae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"PR","PR","BU","0",7,0,7,8,108,0,3,1,3,1,2,2,0.0018,2.617
"Orthocladius","L","Chironomidae: Orthocladiinae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",3,"CG","CG","SP","0",6,0,6,11,108,0,3,1,3,1,2,2,0.0018,2.617
"Stratiomyidae","L","Stratiomyidae","soldier flies","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"CG","CG","SP","MT",8,0,8,11,108,0,3,1,1,2,2,2,0.005,2.591
"Chaetocladius","L","Chironomidae: Orthocladiinae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"CG","CG","SP","MT",6,0,6,11,108,0,3,1,3,1,2,2,0.0018,2.617
"Pericomaini","L","Psychodidae","moth flies","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"CG","CG","BU","0",4,0,4,4,36,0,2,1,1,1,2,2,0.0025,2.692
"Psectrotanypus","L","Chironomidae: Tanypodinae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"PR","PR","SP","MT",10,0,7,11,108,0,3,1,3,1,2,2,0.0018,2.617
"Callibaetis","L","Baetidae","mayflies","insect","Arthropoda: Insecta","Aquatic","Ephemeroptera",5,"CG","CG","SP","HT",9,0,9,11,72,0,3,1,1,2,1,2,0.0053,2.875
"Oribatida","U","x","mites","non-insect","Arachnida: Acari","Terrestrial","x",4,"PA","PR","SW","0",5,0,5,11,108,0,3,2,2,1,2,2,0.053,2.494
"Corynoneura","L","Chironomidae: Orthocladiinae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"CG","CG","SP","0",7,0,7,4,108,0,3,1,3,1,2,2,0.0018,2.617
"Tvetenia bavarica group","L","Chironomidae: Orthocladiinae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"CG","CG","SP","0",5,0,5,4,108,0,3,1,3,1,2,2,0.0018,2.617
"Piscicolidae","U","Piscicolidae","leeches","non-insect","Annelida: Hirudinea","Aquatic","miscellaneous non-insect",1,"PR","PR","CL","0",11,0,6,11,108,0,1,2,1,2,2,2,0.000102,3.25
"Libellulidae","L","Libellulidae","dragonflies","insect","Arthropoda: Insecta","Aquatic","Odonata",4,"PR","PR","SP","MT",9,0,9,11,72,0,1,2,1,3,2,1,0.0076,2.809
"Agraylea multipunctata","L","Hydroptilidae","caddisflies","insect","Arthropoda: Insecta","Aquatic","Trichoptera",4,"PH","PH","CM","0",8,0,8,11,108,0,2,2,1,1,2,1,0.0056,2.839
"Macropelopia","L","Chironomidae: Tanypodinae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"PR","PR","SP","0",6,0,6,5,108,0,3,1,3,1,2,2,0.0018,2.617
"Metriocnemus","L","Chironomidae: Orthocladiinae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"CG","CG","BU","MT",5,0,5,11,108,0,3,1,3,1,2,2,0.0018,2.617
"Microtendipes pedellus group","L","Chironomidae: Chironominae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"CF","CF","CL","MT",6,0,6,4,108,0,3,1,3,1,1,2,0.0018,2.617
